prplRqstNo,instRcptSn
1AB-2510-0002045,201101690
1AB-2510-0002041,201101685
1AB-2510-0001939,201101680
1AB-2510-0002021,201101660
1AB-2510-0001945,201101582
1AB-2510-0001925,201101567
1AB-2510-0001848,201101534
1AB-2510-0001847,201101466
1AB-2510-0001844,201101463
1AB-2510-0001775,201101403
1AB-2510-0001660,201101389
1AB-2510-0001756,201101375
1AB-2510-0001736,201101355
1AB-2510-0001723,201101341
1AB-2510-0001709,201101334
1AB-2510-0001688,201101318
1AB-2510-0001645,201101272
1AB-2510-0001613,201101258
1AB-2510-0001594,201101215
1AB-2510-0001592,201101214
1AB-2510-0001581,201101207
1AB-2510-0001563,201101202
1AB-2510-0001564,201101193
1AB-2510-0001544,201101183
1AB-2510-0001486,201101178
1AB-2510-0001523,201101170
1AB-2510-0001501,201101139
1AB-2510-0001473,201101097
1AB-2510-0001466,201101673
1AB-2510-0001466,201101274
1AB-2510-0001466,201101091
1AB-2510-0001461,201101087
1AB-2510-0001446,201101079
1AB-2510-0001429,201101076
1AB-2510-0001435,201101064
1AB-2510-0001433,201101059
1AB-2510-0001385,201101043
1AB-2510-0001360,201101008
1AB-2510-0001351,201100986
1AB-2510-0001314,201100928
1AB-2510-0001287,201100912
1AB-2510-0001275,201100902
1AB-2510-0001272,201100901
1AB-2510-0001245,201100892
1AB-2510-0001266,201100891
1AB-2510-0001232,201100859
1AB-2510-0001174,201100858
1AB-2510-0001213,201100852
1AB-2510-0001151,201100833
1AB-2510-0001183,201100822
1AB-2510-0001165,201100814
1AB-2510-0000961,201100781
1AB-2510-0001096,201100777
1AB-2510-0001127,201100760
1AB-2510-0001110,201100749
1AB-2510-0001059,201100705
1AB-2510-0001046,201100684
1AB-2510-0001038,201100676
1AB-2510-0001033,201100675
1AB-2510-0000980,201100635
1AB-2510-0000889,201100614
1AB-2510-0000969,201100605
1AB-2510-0000901,201100556
1AB-2510-0000888,201100514
1AB-2510-0000872,201100493
1AB-2510-0000839,201100487
1AB-2510-0000817,201100441
1AB-2510-0000794,201100420
1AB-2510-0000778,201100415
1AB-2510-0000776,201100393
1AB-2510-0000774,201100392
1AB-2510-0000772,201100391
1AB-2510-0000775,201100389
1AB-2510-0000773,201100386
1AB-2510-0000754,201100371
1AB-2510-0000752,201100369
1AB-2510-0000748,201100365
1AB-2510-0000744,201100363
1AB-2510-0000742,201100362
1AB-2510-0000725,201100357
1AB-2510-0000721,201100353
1AB-2510-0000689,201100338
1AB-2510-0000708,201100337
1AB-2510-0000696,201100333
1AB-2510-0000674,201100331
1AB-2510-0000692,201100329
1AB-2510-0000690,201100328
1AB-2510-0000681,201100323
1AB-2510-0000679,201100322
1AB-2510-0000666,201100319
1AB-2510-0000673,201100315
1AB-2510-0000671,201100314
1AB-2510-0000661,201100306
1AB-2510-0000642,201100289
1AB-2510-0000617,201100268
1AB-2510-0000586,201100264
1AB-2510-0000590,201100244
1AB-2510-0000584,201100235
1AB-2510-0000577,201100230
1AB-2510-0000575,201100226
1AB-2510-0000574,201100224
1AB-2510-0000543,201100212
1AB-2510-0000532,201100210
1AB-2510-0000566,201100208
1AB-2510-0000555,201100207
1AB-2510-0000550,201100204
1AB-2510-0000520,201100181
1AB-2510-0000464,201100171
1AB-2510-0000508,201100166
1AB-2510-0000501,201100137
1AB-2510-0000463,201100129
1AB-2510-0000478,201100090
1AB-2510-0000444,201100076
1AB-2510-0000448,201100073
1AB-2510-0000437,201100034
1AB-2510-0000442,201100033
1AB-2510-0000408,201100025
1AB-2510-0000386,201100017
1AB-2510-0000383,201099978
1AB-2510-0000377,201099968
1AB-2510-0000359,201099941
1AB-2510-0000333,201099910
1AB-2510-0000324,201099899
1AB-2510-0000256,201099833
1AB-2510-0000252,201099824
1AB-2510-0000255,201099818
1AB-2510-0000229,201099924
1AB-2510-0000229,201099889
1AB-2510-0000229,201099795
1AB-2510-0000228,201099794
1AB-2510-0000182,201099741
1AB-2510-0000174,201099719
1AB-2510-0000149,201099703
1AB-2510-0000150,201099699
1AB-2510-0000143,201099690
1AB-2510-0000127,201099674
1AB-2510-0000117,201099664
1AB-2510-0000116,201099663
1AB-2510-0000113,201099662
1AB-2510-0000112,201099661
1AB-2510-0000110,201099659
1AB-2510-0000108,201099655
1AB-2510-0000101,201099651
1AB-2510-0000099,201099650
1AB-2510-0000098,201099649
1AB-2510-0000088,201099643
1AB-2510-0000079,201099639
1AB-2510-0000062,201099630
1AB-2510-0000031,201099627
1AB-2510-0000049,201099621
1AB-2510-0000040,201099617
1AB-2510-0000017,201099602
1AB-2509-0015749,201099500
1AB-2509-0015743,201099499
1AB-2509-0015739,201099497
