id,url,title,department,date_range,views,content
PRIc67541f1caed4ce593ac5d9a710eb643,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRIc67541f1caed4ce593ac5d9a710eb643,아파트 관리사무소 직원도 성범죄 경력 조회 대상에 포함시켜 주십시오.,성평등가족부 성평등정책실 안전인권정책관 아동청소년성보호과,2025.11.01.~2025.12.01.,14,"안녕하십니까!
현재 「아동·청소년의 성보호에 관한 법률」은 교사, 보육교사, 학원강사, 아이돌봄 인력 등 아동과 직접 접촉하는 직종에 대해 성범죄 경력 조회를 의무화하고 있습니다. 그러나 아파트 관리사무소 직원은 법적 의무 대상에서 제외되어 있어, 아동 안전 관리에 심각한 사각지대가 존재합니다.
아파트는 아동·청소년이 생활하는 가장 중요한 공간 중 하나입니다. 관리사무소 직원은 단순히 사무만 보는 것이 아니라 놀이터·공용시설의 유지·보수와 점검을 위해 현장을 수시로 방문합니다. 이 과정에서 아이들과 직접 접촉할 가능성이 매우 높습니다. 따라서 관리사무소 직원에 대해서도 성범죄 경력 조회 절차가 반드시 필요합니다.
[현 제도의 문제점]
1. 관리사무소 직원은 법적 조회 의무 대상에서 제외 → 아파트 내 아동 안전의 사각지대 발생.
2. 놀이터·공용시설 점검 과정에서 아동과 자연스럽게 접근 가능 → 잠재적 위험 요소.
3. 주민 입장에서는 관리사무소 직원이 ‘신뢰할 수 있는 내부 직원’으로 인식되기 때문에 경계심이 낮아져 있어, 오히려 아동에게 접근하기 용이한 환경이 조성됨.
[관련 법 개정 동향]
1. 청소년성보호법 일부개정안 (2025.6.13. 국회 본회의 통과)
성범죄자 취업제한 기관 확대, 온라인·오프라인 아동대상 범죄 규제 강화.
아동과 접촉할 수 있는 직종을 넓히는 방향으로 개정.
2. 아이돌봄 지원법 개정안 (2025.6.13. 국회 본회의 통과, 2026년 시행 예정)
‘아이돌봄사’ 국가자격제 도입, 민간 서비스 제공기관 등록제 신설.
돌봄 인력에 대해 범죄경력 조회 의무화 명문화.
3. 아동복지법 일부개정안 (2025년 국회 본회의 통과, 2025년 하반기 시행 예정)
협동돌봄센터를 아동복지시설로 포함, 종사자 범죄경력 확인 강화.
아동 생활공간 및 관련 종사자까지 관리 범위를 확대하는 흐름.
→ 위와 같은 개정 흐름은 아파트 관리사무소 직원 역시 아동 접촉 가능성이 있다는 점에서 반드시 포함되어야 함을 보여줍니다.
[청원 요구]
1. 관리사무소 직원(행정·시설·청소 포함)을 성범죄 경력 조회 의무 대상에 포함시켜 주십시오.
2. 특히 놀이터·공용시설 유지·보수 업무 담당자는 아동과 접촉 가능성이 크므로 반드시 확인 절차가 필요합니다.
3. 지자체나 입주민 자율 수준이 아닌, 국가 차원의 법적 의무화로 제도를 보완해 주십시오.
[기대 효과]
-아파트 내 아동·청소년 안전망 강화
-주민 불안 해소 및 공동체 신뢰 회복
-성범죄 예방과 사회적 안전 문화 확립
-향후 법 개정 흐름과도 부합하는 선제적 제도 마련
마지막으로 아이들의 안전은 타협할 수 없는 가치입니다. 아파트는 아동이 가장 오래 머무르는 생활공간인 만큼, 관리사무소 직원까지 성범죄 경력 조회 의무에 포함시켜 주시기를 간절히 요청드립니다. 정부와 국회, 관계 부처의 신속한 검토와 제도 개선을 부탁드립니다."
PRI0b3c97a9e1e54d018ff6bbb755567ace,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI0b3c97a9e1e54d018ff6bbb755567ace,5인미만과 용역근로자 직장내괴롭힘 해당 안됨/,고용노동부 노동정책실 근로기준정책관 근로기준정책과,2025.11.01.~2025.12.01.,11,무슨근로자가 뭐가 중요한지 모르겟어요 괴롭힘 당한것도 억울한데 같은공간에서 일하고 괴롭힘을 당했는데도 용역근로자라서 고용한 업체가 다르다고 해서 처벌을 못하는게 말이 안되는 거 같아요 법을 개정해주세요 5인미만도요 5인미만은 괴롭혀도 된다는거에요? 이상한법이네요 진심
PRIb94d4289af80493c9f874f53c7cfba8b,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRIb94d4289af80493c9f874f53c7cfba8b,직장내괴롭힘 조사기간 및 결과통보 기한지정 요청,고용노동부 노동정책실 근로기준정책관 근로기준정책과,2025.11.01.~2025.12.01.,11,"직장내괴롭힘으로 회사에 신고하였고, 조사를 명목으로 노무사 대동하여  조사를 하였으나  결과를 기다리는데 조사결과보고 및 통보기간이 기한이 없다보니, 회사및 노무사측은 기다리라는 말만하고, 차일피일 미룹니다.  그러는 동안 피해자는 가해자와 함께 있으며 2차피해를 받습니다. 법으로 정해진 분리조치 및 유급휴가등은 조사기간동안 결정된바가 없다는 이유로 거절당합니다
직장내괴롭힘 신고접수와 함께 신고일로부터 몇일 이내에 조사하고, 결과통보까지의 기한이 정해졌으면 좋겠습니다.
그럼 피해자는 힘들지만 그때까지 참을수 있는 마지막 힘으로 버틸수 있을것 같습니다"
PRI89790fd1d2294b10b578539aedc811db,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI89790fd1d2294b10b578539aedc811db,독립기념관 운영 정상화를 위한 관장 파면 및 정부 차원의 조치 요구,국가보훈부 보훈문화정책실 보훈문화정책관 보훈문화정책과,2025.11.01.~2025.12.01.,5,"대한민국의 독립운동 정신을 기리고 계승하기 위해 설립된 독립기념관은 국민의 성금으로 건립된 국가적 상징입니다. 그러나 현직 김형석 관장은 직분에 걸맞지 않은 언행으로 기념관의 위상을 심각하게 훼손하고 있습니다.
1. 역사 왜곡 및 독립운동 폄훼 발언
- ""광복은 연합군 승리로 얻은 선물""이라는 경축사 발언으로 국민적 공분을 일으킴.
- ""1945년 광복은 잘못된 역사 인식""이라며 독립운동의 가치를 축소
- ""친일 인명사전은 오류가 있다""는 발언으로 친일 인사 재평가를 언급해 독립운동가 후손들의 강한 반발 초래
2.  국적 관련 역사 부정
- 국회 답변에서 ""일제강점기 한국인의 국적은 일본""이라는 주장을 고수
3. 공공기관 사유화 논란
- ROTC 동기회를 독립기념관에서 대관 절차와 대관료 납부 없이 진행
- 직원들까지 동원하여 사적 행사를 지원(직권 남용 및 배임 소지 있음)
독립기념관은 특정 이념이나 사적 모임을 위한 공간이 아닙니다.
국민 모두가 독립운동의 숭고한 가치를 기리고 후세에 전하는 역사 교육의 장이어야 합니다.
그러나 현 관장의 반복된 역사 왜곡 발언과 공적 지위 남용으로 국민적 신뢰가 무너졌습니다. 이로 인해 독립기념관은 국민 통합의 공간이 아닌 사회적 갈등의 장으로 전락하고 있습니다.
독립운동가 후손들까지 거리에서 목소리를 내야 하는 현 상황은 매우 안타까운 일입니다. 정부는 국민이 안심하고 신뢰할 수 있는 독립기념관 운영을 위해, 조속히 정상화 방안을 마련하고 관장 파면과 같은 책임 있는 조치를 취해 주시기를 강력히 촉구합니다."
PRIa15e1b9d1fc143a48bb863597063e443,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRIa15e1b9d1fc143a48bb863597063e443,역사 왜곡을 일삼는 김형석 독립기념관장의 해임을 촉구합니다.,국가보훈부 보훈문화정책실 보훈문화정책관 보훈문화정책과,2025.11.01.~2025.12.01.,14,"독립운동을 비리고 친일과거의 일부 역사를 꾸짖어야 할 독립기념관장의 지난 광복절 기념사를 보고 황당함을 넘어서 울화가 치밀어 청원을 올립니다.
일본이 한반도에서 자행한 식민지 지배와 만행은 한국인 모두가 기억해야 할 치욕의 역사입니다. 그러나 김형석 독립기념관장은 이를 축소·왜곡하는 발언을 이어가며 독립기념관의 존재 이유를 흔들고 있습니다.
그는 “독립운동의 배후”라는 표현을 사용하면서 샤를 메우스 신부와 같은 외국인의 도움을 거론했습니다. 물론 메우스 신부와 여러 외국인 지식인들의 지원은 귀중했습니다. 그러나 그것은 어디까지나 연대와 지원이지, 독립운동의 배후가 아닙니다. ‘배후’라 함은 지휘·조종·총괄을 뜻하는데, 우리 독립운동의 배후는 임시정부였고, 독립자금을 모아 보낸 대한제국의 국민들이었습니다. 외국인들이 우리의 희생에 감동하여 힘을 보탠 것이지, 결코 조종자가 아니었습니다. 그럼에도 이를 ‘배후’라 부르는 것은 독립운동 주체를 깎아내리는 모욕적인 왜곡입니다.
또한 그는 광복을 “연합국 승리의 선물”이라고 표현했습니다. 하지만 광복은 세계사의 결과일 뿐, 거저 얻은 ‘선물’이 아닙니다. 윤봉길 의사의 의거, 수많은 독립군의 피와 희생, 임시정부의 절절한 외교 투쟁이 있었기에 열강이 움직인 것입니다. 실제로 카이로 선언에서 장제스가 한국의 독립을 강력히 요구할 수 있었던 것은 윤봉길 의사의 희생, 김구 주석과의 신뢰, 독립군의 처절한 항거가 있었기 때문입니다. 만약 우리의 독립운동이 없었다면, 서구 열강이 작은 한반도의 운명을 신경이나 썼겠습니까? 광복은 결코 공짜가 아니었습니다.
그럼에도 김형석 관장은 “역사전쟁”, “갈등공화국”, “광복 인식 차이”와 같은 말을 꺼내며 역사 문제를 정치 갈등으로 끌어들입니다. 광복절은 조상들의 피와 눈물을 기리는 날이지, 갈등을 들먹이며 분열을 조장하는 자리가 아닙니다. 독립기념관장이 이처럼 사실 속에 거짓을 교묘히 섞어 국민을 호도하는 것은, 뉴라이트 세력이 늘 써먹던 뻔한 수법일 뿐입니다.
윤봉길 의사는 자제들에게 “현명한 어머니가 있으니 훌륭한 인물이 될 것이다. 두려워하지 말고 일제에 당당히 맞서라”는 유언을 남겼습니다. 그러나 김형석 관장은 이조차 발췌하여 왜곡된 의미로 소개했습니다. 잘못된 발췌와 해석은 결국 역사를 바꾸는 범죄적 행위입니다.
역사는 사실 위에 해석이 서야 합니다. 그러나 그는 사실을 지우고 일부만 뽑아내어 해석을 가장한 왜곡을 반복합니다. 이는 곧 친일사관의 핵심 논리입니다.
독립기념관은 독립운동의 성지이며, 후손들에게 올바른 역사를 전하는 상징입니다. 그 자리에 역사 왜곡과 친일적 논리를 퍼뜨리는 인물이 계속 있는 것은 대한민국 국민 모두에게 참을 수 없는 치욕입니다. 독립운동가들의 넋을 욕되게 하는 일입니다.
따라서 우리는 김형석 독립기념관장의 즉각적인 해임을 강력히 촉구합니다."
PRI412a45bd36744448a353c943d91e5359,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI412a45bd36744448a353c943d91e5359,"가수 싸이는 '범죄자'가 아니라, 실패한 대한민국 의료 시스템의 '경고등'입니다.",보건복지부 보건의료정책실 보건의료정책관 보건의료정책과,2025.11.01.~2025.12.01.,17,"수신: 보건복지부, 국회 보건복지위원회
제목: 가수 싸이는 '범죄자'가 아니라, 실패한 대한민국 의료 시스템의 '경고등'입니다.
""가수 싸이, 수면제 대리 처방 의혹.""
이 자극적인 헤드라인 뒤에 숨겨진 진짜 문제를 보고 계십니까? 대한의사협회를 비롯한 일부는 이를 개인의 일탈로 규정하고, 기다렸다는 듯 '향정신성 의약품 법 강화'라는 낡은 카드를 꺼내 들었습니다. 이는 마치 물이 새는 댐의 수위를 측정하는 계기판이 시끄럽다고 계기판을 부숴버리겠다는 것과 같은 어리석은 처사입니다.
가수 싸이는 범죄자가 아닙니다. 그는 온 국민이 지켜보는 무대 위에서, 대한민국의 곪아 터진 정신의료 시스템이 얼마나 비현실적이고 폭력적인지를 온몸으로 증명하고 있는 '살아있는 경고등'입니다. 불면의 밤을 보내는 슈퍼스타조차 합법적인 의료 시스템 안에서 제때 도움받기 어려운 현실. 이것이 바로 OECD 자살률 1위, 대한민국의 민낯입니다.
본 문서는 이 경고등이 왜 울릴 수밖에 없었는지, 그리고 이 경고를 무시하고 '처벌 강화'라는 잘못된 버튼을 눌렀을 때 어떤 국가적 재앙이 닥칠지를 논리적으로 증명하고, 유일한 해법을 제시하기 위한 정책 제안서입니다.
1. 실패의 증거: 왜 싸이는 병원에 직접 갈 수 없었는가?
귀 기관은 싸이가 단지 '유명해서' 병원에 가기 꺼렸을 것이라 단순하게 생각할지 모릅니다. 그러나 이는 수백만 국민이 겪는 고통의 총합입니다.
시스템의 실패 I: '낙인'이라는 사회적 사형선고
'정신과 F코드'는 투명인간이 되고 싶어 하는 모든 이들에게 주홍글씨와 같습니다. 싸이와 같은 공인뿐 아니라, 승진을 앞둔 직장인, 취업을 준비하는 청년, 평판이 중요한 자영업자 모두가 이 낙인이 두려워 치료를 포기합니다. 이것은 시스템이 환자를 보호하는 것이 아니라, 오히려 사회적 생명을 위협하는 역설입니다.
시스템의 실패 II: '3분'이라는 모욕적인 진료 시간
만약 싸이가 어렵게 병원을 찾았다 한들, 무엇을 기대할 수 있었겠습니까? 수십 명의 대기 환자 틈에서, 자신의 깊은 고통을 단 3분 만에 털어놓고 약 봉투 하나를 받아 드는 것. 이것이 과연 '치료'입니까? 현재의 저수가 시스템은 의사를 '상담가'가 아닌 '약물 배급자'로 전락시켰으며, 환자와의 신뢰 관계 구축을 원천적으로 불가능하게 만들었습니다.
2. 재앙의 시나리오: '법 강화'가 불러올 대한민국 붕괴 시나리오
만약 의협의 주장대로 처벌만 강화한다면, 우리는 다음과 같은 예측 가능한 미래를 맞이할 것입니다. 이는 단순한 부작용이 아니라, 사회 시스템 붕괴의 서막입니다.
제1막: 암시장과 중독자의 창궐 (포르투갈의 교훈)
포르투갈이 마약과의 전쟁에서 승리한 것은 처벌이 아닌 '공중 보건'으로 접근했기 때문입니다. 반대로 우리가 처벌을 강화하면, 고통받는 이들은 SNS와 다크웹으로 숨어들어 검증되지 않은 약물에 의존할 것입니다. 국가는 국민의 정신건강 데이터를 완전히 상실하고, 거대한 '치료 암시장'과 '약물 중독 팬데믹'이라는 최악의 시나리오를 마주하게 될 것입니다.
제2막: 침묵의 비명과 자살률 폭증 (일본의 사례)
일본은 과거 정신질환에 대한 높은 사회적 편견으로 인해 많은 환자들이 치료를 기피, 심각한 사회 문제로 이어진 바 있습니다. 법 강화는 한국을 '침묵의 사회'로 만들 것입니다. 우울과 불안의 첫 신호를 보내는 수많은 사람들이 치료를 포기하고, 병이 깊어진 뒤에야 극단적 선택이라는 비극적 결과로 나타날 것입니다. OECD 자살률 1위라는 현재의 수치는, 다가올 재앙에 비하면 서막에 불과할 것입니다.
3. 유일한 탈출구: '처벌'에서 '혁신'으로, 패러다임의 대전환
우리는 '싸이'라는 경고등을 끄는 것이 아니라, 경고가 울리는 원인인 '시스템의 화재'를 진압해야 합니다. 이를 위한 구체적이고 즉각적인 행동 계획을 다음과 같이 제안합니다.
(즉각 시행) '국가 마음건강 혁신 TF' 출범을 명령하십시오.
구성: 보건복지부, 과기부 등 정부 부처는 물론, 환자 단체, IT 플랫폼 전문가, 법률가, 시민 대표가 의사협회와 동등한 권한으로 참여하는 범사회적 기구를 설립해야 합니다.
1차 과제: 3개월 내 '안전한 비대면 진료 플랫폼' 구축을 위한 기술적·법적 로드맵을 완성하고, 재원 확보 방안(건강보험재정 및 건강증진기금 활용 계획 포함)을 국민 앞에 보고하도록 하십시오. 이는 단순한 연구가 아닌, '실행'을 전제로 한 프로젝트여야 합니다.
(입법 명령) '환자 중심 의료 3법' 개정을 즉각 추진하십시오.
법안 1 (상담 보장): 의사뿐 아니라 국가공인 심리상담사의 전문 상담에 건강보험을 적용하는 '국민건강보험법' 개정안.
법안 2 (권리 보장): 의료사고 발생 시 입증책임을 의료기관이 일부 분담하도록 하는 '의료사고 피해구제 및 의료분쟁 조정 등에 관한 법률' 개정안.
법안 3 (참여 보장): 모든 의료 관련 정책 결정 위원회에 환자 및 시민 대표 참여를 의무화하는 '보건의료기본법' 개정안.
마지막으로, 이 나라의 보건의료 시스템을 책임지는 보건복지부와 국정 최고 책임자인 대통령께 묻습니다.
국민의 생명과 안전을 지키는 것이 국가의 가장 큰 사명일 것입니다. 그런데 어째서 주무 부처는 환자들을 더 깊은 음지로 내모는 '처벌 강화'라는 의사 집단의 퇴행적 주장에 침묵하며, 오히려 동조하는 듯한 태도를 보이고 있습니까?
국민이 아파서 병원에 가겠다는데, 국가는 낙인과 처벌의 칼날부터 들이댑니다. 의사들은 파업으로 응급 환자의 생명을 담보로 잡고, 자신들의 기득권을 지키기 위해 환자의 불편과 고통은 외면합니다. 이것이 과연 정상적인 나라의 보건의료 시스템입니까?
대통령과 정부는 더 이상 의사 집단의 눈치를 보며 국민의 고통을 방치해서는 안 됩니다. 지금 당장, 국민의 편에 서서 의료 시스템을 바로 세우겠다는 의지를 분명히 밝히고, 기득권의 저항을 뚫고서라도 '사람을 살리는 개혁'을 완수하겠다는 대국민 약속을 하십시오.
이것은 한 연예인의 가십이 아닙니다. 이것은 국가의 존재 이유와 정부의 책무에 관한 문제입니다.
부디 이 경고를 무시하지 마십시오. 의사 집단이 아닌, 오직 국민의 생명만을 바라보는 리더십을 보여주시길 대한민국 국민의 이름으로 엄중히 촉구합니다."
PRI9e76d66d552d4f27ac563480a447e375,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI9e76d66d552d4f27ac563480a447e375,코로나 백신 의무 접종 시행 금지 요청,질병관리청 의료안전예방국 예방접종관리과,2025.11.01.~2025.12.01.,18,"최근에 COVID-19 백신 예방 접종을 다시 의무화하여 예전 했던 것처럼 대응하고자 한다는 소식을 들었습니다.
요즘 감염이 확산되면서 재유행하는 것에 맞서 대응책을 마련하고자 하는 그 취지는 잘 알겠습니다.
예전처럼 전염병 수준이 되면 타격이 크기에 선제 대응하고자 하고, 확산세가 커지면 다른 방도도 찾기가 쉽지 않다는 것도 잘 알겠습니다.
하지만 백신 의무 접종 시 발생하는 부작용과 그 피해도 적지 않음을 기억해 주시면 좋겠습니다.
제 주변에도 건강한 신혼부부가 백신 맞은 지 일주일도 안되어 혈액암 판정 받고 아직도 암과 사투 중인 사람이 있습니다.
가지고 있던 질병이 있었는데 백신 맞고 합병증이 발병하여 병원에서 가족도 못 만나고 돌아가신 분도 있습니다.
정부에서 의무라고 하여 찜찜해도 백신 접종했는데 그런 불상사를 맞이하니 어찌 통탄할 노릇이 아니겠습니까?
(정확히는 의무라기보다는 미접종 시 공공시설 출입 금지였지요. 하지만 하루이틀도 아니고 요즘 시대에 오랜동안 공공시설 출입을 않고 살기가 어디 쉬운가요)
정부는 책임을 다하고자 노력하느라 시행한 것이고 백신 개발사가 모든 상황을 제어할 수도 없는 것이니 누구의 책임이라 할 수도 없는 상황을 어찌 답답하지 않을 수 있겠습니까?
하지만 국민들의 입장에서 보면 의무라고 하니 개인 사정사를 고려하면 찜찜하고 거부감이 강해도 억지로 접종하는 사람들이 발생하니 이것이 문제가 아닐까 생각해 봅니다.
의무라는 이름으로 강제하면 그 책임은 정부에 속하게 됩니다.
하여 정부의 책임도 줄이고 국민들의 자유 의사도 반영하여 의무사항이 아니라 권고사항 정도로 시행하면 가장 좋은 방안이 될 것이라 생각해 봅니다.
공무하시느라 바쁘신 가운데 본 내용을 참작하시어 무리 없고 국민들의 환영을 받는 정책을 시행하시면 좋겠습니다.
감사합니다."
PRI710e499db19f49bdbedbd8ec981cf4ed,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI710e499db19f49bdbedbd8ec981cf4ed,숙박 업소 입. 퇴실 시간 조정 건의 건,보건복지부 건강정책국 건강정책과,2025.11.01.~2025.12.01.,25,"1년에 3~4번 정도 국내 여행만 고집하고 있는 사람입니다. 우리나에도 충분히 아름답고 볼거리 많고 즐길거리 많다! 라는 생각으로 가족들은 해외여행을 고집하지만 저는 오로지 국내 여행만을 추구하고 있는데요...점점 지쳐가는 중입니다.
코로나 전에는 숙박업소 입퇴실 시간이 이렇게 야박하지는 않았던거 같은데 전국 어느곳을 조회 해 봐도 이제는 제일 빠른 입실 시간이 오후 2시.. 그런 곳도 거의 찾을 수 없을 정도이고 대부분은 3시 입실에 퇴실 또한 오전 11시인데요..어떤곳은 오후 4시인 곳도 있더라구요..코로나때는 그럴수 있다 쳐도 이제는 입실 시간이 다시 예전처럼 되돌아 가야 하는거 아닌가요? 1박 2일이면 적어도 24시간은 숙소에 머물수 있게 해줘야 되는거 아닙니까!!!성수기때는 숙박 비용을 2배 이상 받으면서...막상 가면 수영장 비용, 바베큐 비용, 애견동반 펜션이라고 애초에 더 비싼 숙박비를 지불했는데도 불구하고 강아지에 대한 추가 비용이 또 있습니다.  분리수거, 설거지까지 다 하고 나와야 하고 어떤곳은 그 지역 종량제 봉투까지 구매를 해서 처리까지 다 하고 나와야합니다. 청소까지 다 하고 나오는데 그 다음 팀을 받기 위해서 4시간 동안 업주들이 청소를 이유로 입퇴실 시간을 그렇게 정하는건 아니라고 봅니다!! 솔직히 전기세, 수도세..기타 등등 그만 쓰고 나가라는거 밖에 안되지 않나요? 전국 숙박 업소들이 담합을 해서 시간을 저렇게 하고 있는거 같은데 정부 차원에서 어느 정도 조정을 해 줘야 점점 해외로 나가고 있는 우리 국민들을 국내로 다시 돌아오게 만들 수 있지 않을까요? 식당, 숙박, 교통. 여행지에 있는 소규모 마트...등등 손님들에게 바가지 씌워도 그럴 수 있다고 칩시다.  우리나라 경제에 보탬만 된다면...단 한가지 숙박업소 입, 퇴실 시간은 조정이 되어야 한다고 생각합니다."
PRI65c80cfcbceb4dddae734eb67eb58444,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI65c80cfcbceb4dddae734eb67eb58444,명절 기간 제주도행 항공편 특별기 증편을 요청드립니다,국토교통부 항공정책실 항공정책관 항공산업과,2025.11.01.~2025.12.01.,20,"안녕하세요.
저는 (제주도 제외도민으로, 3자녀를 둔 가장입니다)
명절 기간마다 제주도에 계신 부모님을 찾아뵙고자 하는 일반 시민입니다.
하지만 매년 설날과 추석을 앞두고 제주도행 항공권은 극심한 부족 현상을 겪고 있습니다. 대부분의 항공권은 예매 시작과 동시에 매진되며, 일부 항공권은 비정상적인 웃돈 거래까지 발생하고 있는 실정입니다.
특히 제주도는 항공편 외에 접근성이 매우 제한적이기 때문에, 항공권 부족은 곧 가족 상봉 포기의 원인이 되고 있습니다.
이는 단순한 교통 불편을 넘어, 가족과의 시간을 포기해야 하는 국민 정서 및 삶의 질에 직접적인 영향을 미칩니다.
이에 명절 기간 동안 다음과 같은 방안을 통해 항공편 확대를 적극 검토해 주실 것을 요청드립니다
1. 설날 및 추석 연휴 기간 전후로 제주 노선 특별기 운항 확대
2. 항공사에 대형기종 운용 또는 임시편 증편 행정 권고
3. 제주도민/제외도민 전용 특별기 운용 등 기타 外
부탁드립니다."
PRI553d3642341043028a90844ab03f9046,https://www.cheongwon.go.kr/portal/petition/open/viewdetail/PRI553d3642341043028a90844ab03f9046,"건강보험 재정, 국민이 안심할 수 있도록 바로잡아 주십시오",보건복지부 건강보험정책국 보험정책과,2025.11.01.~2025.12.01.,11,"안녕하세요.
저는 매달 꼬박꼬박 건강보험료를 내는 평범한 국민입니다.
그런데 요즘 뉴스에서 건강보험 재정이 큰 적자라는 이야기를 자주 듣습니다.
이대로라면 우리 아이들 세대는 지금처럼 의료 혜택을 못 누릴까 걱정됩니다.
건강보험은 아플 때 누구나 의지할 수 있는 든든한 제도입니다.
하지만 새는 구멍을 막지 않으면 결국 그 부담은 국민에게 돌아옵니다.
저는 세 가지 대안을 제안드립니다.
1️⃣ 외국인 가입자 단계별 혜택
보험료를 오래 납부하지 않은 상태에서 과도한 혜택을 받는 일을 막아야 합니다.
가입 기간에 따라 혜택을 조금씩 넓히는 방식이 필요합니다.
2️⃣ 진료 누진제 도입
일부의 과도한 의료 이용이 재정을 해치고 있습니다.
일정 횟수를 넘으면 본인 부담을 조금 더 높여, 꼭 필요한 경우에만 이용하도록 해야 합니다.
3️⃣ 건강보험공단 효율화
불필요한 인력과 비용을 줄이고, 디지털 시스템을 강화해야 합니다.
아낀 행정비용은 국민을 위한 진료비로 써야 합니다.
국민이 낸 보험료는 국민을 위해 쓰여야 합니다.
이 제도가 오래도록 유지될 수 있도록, 정부가 반드시 대책을 세워 주시길 부탁드립니다.
건강보험은 우리 모두의 생명줄입니다.
국민의 목소리에 귀 기울여 주십시오."
